event_id,event_type,event_timestamp,event_category,event_description,severity,event_time,category,mitre_technique,host,event_severity,affected_hosts,event_details,action,detect_description,detect_id,technique,src_ip,src_port,protocol,user_name,process_name,technique_name,affected_host,affected_process,affected_file_path,command_line,parent_process,parent_process_command_line,detection_method,recommended_actions,event_version,event_data,event_name,endpoint,data,rule_name,recommendation,event_subtype,container_name,image_name,image_digest,registry,command,source_ip,destination_ip,process_path,username,detection,actor,host_info,event_url,event_hash,detected_by,details,device,source,target,attack_name,tactic,ip_address,process_id,metadata,alert_type,timestamp,detection_info,sensor_id,hostname,ip,user,domain,process_command_line,process_pid,parent_process_name,parent_process_pid,c2,files,detection_source,web_server_url,web_server_method,type,process,network,event,trigger,remediation,artifact_hiding,process_injection,security_control_disablement,file_deletion,name,affected_entities,dst_ip,kill_chain_phases,file,process_execution,registry_modification,cloud_infrastructure_modification,subtype,detection_details,customer_id,event_info,product,mitre,attack_details,description,destination_port,parent_process_id,email_sender,email_recipient,email_subject,email_urls,email_attachments,Severity,event_Timestamp,Affected_Hostname,Affected_File_Path,Alert_Source,Recommendation,Title,Tactic,Technique,Affected_Image_Path,Injected_Process_Name,Parent_Process_Name,Injection_Technique,indicators,actions,additional_info,file_info,network_info,Timestamp,Description,Loader_Process_Name,Loader_Technique,event_Source,tactics,recommendations,ip_addresses,mac_addresses,operating_system,agent_version,group_name,destination,threat_severity,threat_category,threat_name,ioc,tags,detect_name,rule_description,triggered_rule,alert_rule_name,alert_rule_id,alert_state,alert_time,src,process_tree,remediation_steps,event_categorty,kill_chain,image_loaded,target_image_loaded,target_image_name,target_command_line,EventID,Category,AffectedHostInfo,DetectionDetails,endpoint_id,web_service_name,web_service_path,ioc_type,ioc_value,process_details,host_details,DetectionId,Details,event_action,event_source,status,application,threat,source_port,file_write,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFilePath,AffectedFileSize,technique_id,event_creator,subtechnique_id,subtechnique,remote_server,mitre_attack_id,cloud_account,org_id,event_event_name,data_source,device_name,file_name,file_size,src_path,dst_path,host_name,file_path,md5_hash,sha256_hash,alert_data,detection_id,detection_time,detection_score,threat_score,device_id,device_external_ip,device_os,device_os_version,policy_name,policy_id,subcategory,file_permission_modification,Domain_Controller_IP,Domain_Controller_Name,combined_data
12345,threat_detection,1646749633000,Access Token Manipulation Detected,Access Token Manipulation has been detected on endpoint.,High,2023-03-10T12:00:00Z,Endpoint Detection and Response,Access Token Manipulation (T1134),"{'hostname': 'endpoint1', 'ip': '192.168.1.100', 'os': 'Windows 10 Pro', 'user': 'JohnDoe'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is threat_detection. event_timestamp is 1646749633000. event_category is Access Token Manipulation Detected. event_description is Access Token Manipulation has been detected on endpoint.. severity is High. event_time is 2023-03-10T12:00:00Z. category is Endpoint Detection and Response. mitre_technique is Access Token Manipulation (T1134). host hostname is endpoint1. host ip is 192.168.1.100. host os is Windows 10 Pro. host user is JohnDoe. 
EDR-24680,DetectionSummaryEvent,1646749633000,Account Manipulation,User account 'jdoe' was added to the local 'Administrators' group on host DC-1,,,,,,High,"[{'host_name': 'DC-1', 'ip_address': '192.168.1.10'}]","{'username': 'admin', 'domain': 'MYDOMAIN', 'source_ip': '192.168.1.11', 'affected_user': 'jdoe', 'affected_group': 'Administrators', 'modification_type': 'Addition'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is EDR-24680. event_type is DetectionSummaryEvent. event_timestamp is 1646749633000. event_category is Account Manipulation. event_description is User account 'jdoe' was added to the local 'Administrators' group on host DC-1. event_severity is High. affected_hosts host_name is DC-1. affected_hosts ip_address is 192.168.1.10. event_details username is admin. event_details domain is MYDOMAIN. event_details source_ip is 192.168.1.11. event_details affected_user is jdoe. event_details affected_group is Administrators. event_details modification_type is Addition. 
EDR-67890,Application Layer Protocol,1646749633000,Application Layer Protocol,,high,,,,,,,,network-connect,A network connection was made using an application layer protocol that is commonly associated with malware or other suspicious activity.,123456.0,Application Layer Protocol,192.168.1.100,1234.0,HTTPS,user1,explorer.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is EDR-67890. event_type is Application Layer Protocol. event_timestamp is 1646749633000. event_category is Application Layer Protocol. severity is high. action is network-connect. detect_description is A network connection was made using an application layer protocol that is commonly associated with malware or other suspicious activity.. technique is Application Layer Protocol. src_ip is 192.168.1.100. protocol is HTTPS. user_name is user1. process_name is explorer.exe. 
98765,BITS Job Execution Detected,2023-03-10T10:30:00Z,BITS job execution,BITS job execution was detected on the endpoint.,high,,,,,,,,,,,,,,,,,BITS Jobs,hostname,bitsadmin.exe,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe /transfer job /download /priority normal http://example.com/file.txt C:\file.txt,explorer.exe,C:\Windows\explorer.exe,File system monitoring and behavioral analysis,"['Terminate the process and remove any associated artifacts.', 'Investigate the source and destination of the BITS job.', 'Check for other suspicious activity on the endpoint and the network.', 'Update endpoint security software and monitor for any further activity.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 98765. event_type is BITS Job Execution Detected. event_timestamp is 2023-03-10T10:30:00Z. event_category is BITS job execution. event_description is BITS job execution was detected on the endpoint.. severity is high. technique_name is BITS Jobs. affected_host is hostname. affected_process is bitsadmin.exe. affected_file_path is C:\Windows\System32\bitsadmin.exe. command_line is bitsadmin.exe /transfer job /download /priority normal http://example.com/file.txt C:\file.txt. parent_process is explorer.exe. parent_process_command_line is C:\Windows\explorer.exe. detection_method is File system monitoring and behavioral analysis. recommended_actions are Terminate the process and remove any associated artifacts.; Investigate the source and destination of the BITS job.; Check for other suspicious activity on the endpoint and the network.; Update endpoint security software and monitor for any further activity.; 
12345,Threat Detection,1646749655000,Suspicious data manipulation,Suspicious data manipulation activity or Data Destruction detected on endpoint,,,,,,high,,,,,,,,,,,,,,,,,,,,,1.0,"{'hostname': 'example-hostname', 'user_name': 'example-user', 'timestamp_utc': '2022-03-07T16:57:35.000Z', 'attack_name': 'Data Destruction', 'threat_score': 100, 'threat_indicators': [{'indicator_type': 'file_path', 'indicator_value': 'C:\\Users\\example-user\\Documents\\example-file.txt', 'indicator_description': 'Path of the file that was destroyed'}, {'indicator_type': 'file_hash', 'indicator_value': '1234567890ABCDEF1234567890ABCDEF12345678', 'indicator_description': 'SHA-1 hash of the file that was destroyed'}, {'indicator_type': 'command_line', 'indicator_value': 'cmd /c del C:\\Users\\example-user\\Documents\\example-file.txt', 'indicator_description': 'Command line used for data destruction'}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is Threat Detection. event_timestamp is 1646749655000. event_category is Suspicious data manipulation. event_description is Suspicious data manipulation activity or Data Destruction detected on endpoint. event_severity is high. event_data hostname is example-hostname. event_data user_name is example-user. event_data timestamp_utc is 2022-03-07T16:57:35.000Z. event_data attack_name is Data Destruction. event_data threat_indicators is {'indicator_type': 'file_path', 'indicator_value': 'C:\\Users\\example-user\\Documents\\example-file.txt', 'indicator_description': 'Path of the file that was destroyed'}. event_data threat_indicators is {'indicator_type': 'file_hash', 'indicator_value': '1234567890ABCDEF1234567890ABCDEF12345678', 'indicator_description': 'SHA-1 hash of the file that was destroyed'}. event_data threat_indicators is {'indicator_type': 'command_line', 'indicator_value': 'cmd /c del C:\\Users\\example-user\\Documents\\example-file.txt', 'indicator_description': 'Command line used for data destruction'}. "
lodfldpw,threat detection,2023-03-08T09:00:00Z,Data Encoding Detected,Data encoding has been detected on a system,high,,,,,,,"{'process_name': 'notepad.exe', 'process_path': 'C:\\Windows\\system32\\notepad.exe', 'command_line': 'notepad.exe C:\\Users\\User1\\Desktop\\encoded.txt', 'parent_process_name': 'explorer.exe', 'parent_process_path': 'C:\\Windows\\explorer.exe', 'encoding_type': 'Base64', 'encoded_data': 'SGVsbG8gV29ybGQh'}",,,,,,,,,,,,,,,,,,,,,Data Encoding Detected,"{'hostname': 'Endpoint1', 'ip_address': '192.168.1.10', 'mac_address': '00-0C-29-56-A7-34', 'os': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is lodfldpw. event_type is threat detection. event_timestamp is 2023-03-08T09:00:00Z. event_category is Data Encoding Detected. event_description is Data encoding has been detected on a system. severity is high. event_details process_name is notepad.exe. event_details process_path is C:\Windows\system32\notepad.exe. event_details command_line is notepad.exe C:\Users\User1\Desktop\encoded.txt. event_details parent_process_name is explorer.exe. event_details parent_process_path is C:\Windows\explorer.exe. event_details encoding_type is Base64. event_details encoded_data is SGVsbG8gV29ybGQh. event_name is Data Encoding Detected. endpoint hostname is Endpoint1. endpoint ip_address is 192.168.1.10. endpoint mac_address is 00-0C-29-56-A7-34. endpoint os is Windows 10. 
12345,threat detection,1646873400000,Data Manipulation,Data Manipulation detected on endpoint,,,,,,medium,,,,,,,,,,,,,,,,,,,,,1.0,"{'hostname': 'example-hostname', 'user_name': '', 'timestamp_utc': '2022-03-09T09:30:00.000Z', 'attack_name': 'Data Manipulation', 'threat_score': 70, 'threat_indicators': [{'indicator_type': 'process_name', 'indicator_value': 'C:\\Program Files\\example-app\\example-app.exe', 'indicator_description': 'Process responsible for the suspicious data manipulation activity'}, {'indicator_type': 'file_path', 'indicator_value': 'C:\\Windows\\Temp\\example-file.txt', 'indicator_description': 'File modified by the suspicious data manipulation activity'}], 'sensor_id': '1234', 'sensor_version': '5.38.0.0', 'product_name': 'Falcon Agent', 'product_version': '5.38.0.0', 'event_source': 'EDR', 'event_source_id': '5678', 'event_type_id': '200001', 'event_type': 'DetectionSummaryEvent'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is threat detection. event_timestamp is 1646873400000. event_category is Data Manipulation. event_description is Data Manipulation detected on endpoint. event_severity is medium. event_data hostname is example-hostname. event_data user_name is . event_data timestamp_utc is 2022-03-09T09:30:00.000Z. event_data attack_name is Data Manipulation. event_data threat_indicators is {'indicator_type': 'process_name', 'indicator_value': 'C:\\Program Files\\example-app\\example-app.exe', 'indicator_description': 'Process responsible for the suspicious data manipulation activity'}. event_data threat_indicators is {'indicator_type': 'file_path', 'indicator_value': 'C:\\Windows\\Temp\\example-file.txt', 'indicator_description': 'File modified by the suspicious data manipulation activity'}. event_data sensor_id is 1234. event_data sensor_version is 5.38.0.0. event_data product_name is Falcon Agent. event_data product_version is 5.38.0.0. event_data event_source is EDR. event_data event_source_id is 5678. event_data event_type_id is 200001. event_data event_type is DetectionSummaryEvent. "
02030tr0f,detect,2022-03-15T10:30:00Z,defacement detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,"[{'severity': 'high', 'event_id': '123456', 'detect_description': 'Potential website defacement detected', 'detect_name': 'Website Defacement Detected', 'detect_id': 'T1491', 'hostname': 'example-device', 'os': 'Windows', 'os_version': '10.0.19042', 'process_name': 'iexplore.exe', 'command_line': 'iexplore.exe https://example.com/', 'process_id': '1234', 'parent_process_name': 'explorer.exe', 'parent_command_line': 'explorer.exe', 'event_timestamp': '2022-03-15T10:30:00Z', 'file_path': 'C:\\inetpub\\wwwroot\\index.html', 'attack_vector': 'Web'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 02030tr0f. event_type is detect. event_timestamp is 2022-03-15T10:30:00Z. event_category is defacement detected. data severity is high. data event_id is 123456. data detect_description is Potential website defacement detected. data detect_name is Website Defacement Detected. data detect_id is T1491. data hostname is example-device. data os is Windows. data os_version is 10.0.19042. data process_name is iexplore.exe. data command_line is iexplore.exe https://example.com/. data process_id is 1234. data parent_process_name is explorer.exe. data parent_command_line is explorer.exe. data event_timestamp is 2022-03-15T10:30:00Z. data file_path is C:\inetpub\wwwroot\index.html. data attack_vector is Web. 
2040fjh2,alert,2023-03-10T15:00:00.000Z,Deobfuscate/Decode Files or Information,Deobfuscation or decoding activity has been detected on the endpoint.,Medium,,,,"{'hostname': 'example-hostname', 'ip_address': '192.0.2.1', 'mac_address': '00:11:22:33:44:55', 'os': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,2.0,,,,,Deobfuscate/Decode Files or Information,Investigate the endpoint for any signs of malicious activity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 2040fjh2. event_type is alert. event_timestamp is 2023-03-10T15:00:00.000Z. event_category is Deobfuscate/Decode Files or Information. event_description is Deobfuscation or decoding activity has been detected on the endpoint.. severity is Medium. host hostname is example-hostname. host ip_address is 192.0.2.1. host mac_address is 00:11:22:33:44:55. host os is Windows 10. rule_name is Deobfuscate/Decode Files or Information. recommendation is Investigate the endpoint for any signs of malicious activity.. 
1234567890,Detect,2022-04-01T13:15:30Z,suspicous container,Suspicious container deployment detected,High,,,,,,,,,,,,,,,,kubectl.exe,,,,,,,,,,,,,,,,,ContainerDeploy,malicious-container,malicious-image,sha256:abcdef123456,malicious-registry.com,kubectl run malicious-container --image=malicious-image,192.168.1.100,10.10.10.10,C:\Windows\System32\kubectl.exe,admin,"{'detection_id': 'Detection-123', 'detection_time': '2022-04-01T13:18:30Z', 'detection_category': 'Exploit', 'detection_name': 'Container Deployment', 'detection_description': 'Detection of a container deployment using an exploit'}","{'type': 'Unknown', 'name': 'Unknown'}","{'hostname': 'computer-123', 'os_version': 'Windows 10 Pro 21H1', 'os_type': 'Windows', 'ip_addresses': ['192.168.1.100', 'fe80::d5a3:9c9f:2189:e591'], 'mac_addresses': ['00:0c:29:aa:bb:cc'], 'domain': 'mycompany.local'}",https://falcon.crowdstrike.com/sensors/entities/incidents/incident-details?incidentId=1234567890,abc123def456ghi789jkl012mno345pqr678stu9v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 1234567890. event_type is Detect. event_timestamp is 2022-04-01T13:15:30Z. event_category is suspicous container. event_description is Suspicious container deployment detected. severity is High. process_name is kubectl.exe. event_subtype is ContainerDeploy. container_name is malicious-container. image_name is malicious-image. image_digest is sha256:abcdef123456. registry is malicious-registry.com. command is kubectl run malicious-container --image=malicious-image. source_ip is 192.168.1.100. destination_ip is 10.10.10.10. process_path is C:\Windows\System32\kubectl.exe. username is admin. detection detection_id is Detection-123. detection detection_time is 2022-04-01T13:18:30Z. detection detection_category is Exploit. detection detection_name is Container Deployment. detection detection_description is Detection of a container deployment using an exploit. actor type is Unknown. actor name is Unknown. host_info hostname is computer-123. host_info os_version is Windows 10 Pro 21H1. host_info os_type is Windows. host_info ip_addresses is 192.168.1.100. host_info ip_addresses is fe80::d5a3:9c9f:2189:e591. host_info mac_addresses is 00:0c:29:aa:bb:cc. host_info domain is mycompany.local. event_url is https://falcon.crowdstrike.com/sensors/entities/incidents/incident-details?incidentId=1234567890. event_hash is abc123def456ghi789jkl012mno345pqr678stu9v. 
