AlertID,creationTimeUtc,AlertTimestamp,severity,category,status,AlertName,AlertDescription,recommendedActions,vendorInformation,properties,AlertCategory,AlertSeverity,Technique,AffectedHost,AffectedProcess,AffectedFilePath,Commandline,ParentProcess,ProcessCommandLine,DetectionMethod,RecommendedActions,source,tactic,device_name,action,file_name,file_size,src_path,dst_path,Severity,Name,Event,AlertType,MachineId,Category,AlertId,EventTime,ExtendedProperties,ComputerName,Status,AlertDetails,EndpointDetails,DetectionSource,DetectionID,EventHash,AffectedEntities,Tactic,KillChainPhase,HostName,FilePath,ProcessName,CommandLine,MD5Hash,SHA256Hash,IPAddress,UserName,ProcessID,ParentProcessID,hostname,ip_address,os,pid,command_line,access_type,operation,DeviceName,DeviceId,OsPlatform,OsVersion,ProcessCreationTime,ParentProcessName,ParentProcessCommandLine,ParentProcessCreationTime,TargetDevice,TargetDeviceId,TargetOsPlatform,TargetOsVersion,TargetUserName,EntityType,EntityName,OS,References,KillChain,MachineDomainName,MachineName,AlertLink,Recommendation,Vendor,Product,Path,Hash,Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,DomainName,URL,Type,EndpointID,EndpointName,ParentProcessPath,ProcessPath,Source,Host,User,Target,Port,Action,Reason,ProcessPid,ParentProcessPid,Direction,RemoteServiceName,RemoteServiceType,RemoteServicePorts,RemoteServiceIpv4,RemoteServiceIpv6,RemoteServiceUrl,RemoteServiceCertificate,RemoteServiceEncryption,RemoteServiceAuthentication,RemoteServiceVersion,RemoteServiceProduct,RemoteServiceOrganization,TargetUser,OriginalPermissions,NewPermissions,Field,Operator,Value,Tags,InjectedProcessName,InjectionTechnique,ControlName,sha1_hash,file_path,process_name,process_path,HostIP,AdditionalInfo,RegistryKey,RegistryValue,CloudProvider,APIOperation,TECHNIQUE,SourceIPAddress,DestinationIPAddress,Domain,ThreatName,IOC,ProcessHash,Hostname,SourceIP,DestinationIP,AttackType,AttackDuration,AffectedServices,AffectedHostname,AlertSource,alert_severity,action_taken,detection_source,Affected_Hostname,Injected_Process_Name,Parent_Process_Name,Injection_Technique,Alert_Source,machine_id,user_id,process_id,process_command_line,alert_type,alert_name,remote_address,remote_port,local_address,local_port,protocol,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFileSize,TechniqueName,IP,OSVersion,EventType,EventCategory,TargetResource,Operation,SuspiciousAction,Domain_Controller_IP,Domain_Controller_Name,ParentCommandLine,EventID,ParentHash,ExecutionStatus,EntityValue,Condition,Description,Endpoint,RemediationSteps,EventId,ProcessId,CloudAccount,local_ip,public_ip,detection_method,file_hash,malware_family,TECHNIQUE_NAME,TACTIC,Signer,Process Name,PID,AttackTactic,AttackTechnique,EntityId,EntityIp,Details,TimestampUtc,SHA256,WebServiceName,WebServicePath,type,vendor,path,domain,host,Affected_Device,Affected_User,Malicious_Executable,Username,ContainerImageName,ContainerRuntime,DeploymentMethod,ParentProcessId,AlertDDescription,Endpoint_ID,Endpoint_Name,Endpoint_IP,Process_Name,EndpointIP,C2Server,ExfiltratedData,ExfiltrationMethod,UserDomain,ProcessParentName,ProcessParentID,ArtifactType,ArtifactPath,ArtifactName,AleertDescription,AlertTimestamps,native_function_calls,source_ip,destination_ip,process_hash,parent_process_name,parent_process_hash,Detection_Details,Process_Path,Process_Command_Line,AffectedFile_Path,AlertTime,UserInfo,PhishingInfo,AffectedImagePath,AffectedEndpoints,IndicatorsOfCompromise,Loader_Process_Name,Loader_Technique,ProcessParentPath,ProcessParentHash,ImageLoaded,TargetImageLoaded,TargetImageName,TargetCommandLine,KillchainPhase,TechniqueID,Techniqu,MACAddress,AlertyDescription,EventLogName,EventLogMessage,OperatingSystem,FallbackProtocol,Alertescription,modified_time,original_hash,current_hash,RemoteServer,affected_host,alert_category,alert_recommendation,alert_details,RuleName,ProcessParentCommandLine,AttackVector,AlertTimestampUtc,WebServerUrl,WebServerMethod,technique,remote_ip,ClosedTime,DataTTL,DetectionTime,DetectionType,IsIncident,LastUpdateTime,DnsName,FullyQualifiedDomainName,NetBiosName,OSPlatform,ProcessorArchitecture,CreationTime,End,FileHash,FileName,Start,VendorName,VendorSeverity,VendorThreatName,combined_data
1234567,2022-10-15T12:30:00.0000000Z,2023-03-10T15:30:00Z,high,AccountManipulation,newAlert,Account Manipulation,An attempt was made to add a user account to the local Administrators group on a device,"['Block or quarantine the affected device', 'Investigate the source and destination of the activity', 'Reset the passwords for any accounts that may have been compromised']","{'provider': 'Microsoft Defender for Endpoint', 'providerVersion': '1.0'}","{'affectedEntities': [{'affectedEntityType': 'Machine', 'machine': {'id': '12345678-9abc-def0-1234-56789abcdef0', 'hostName': 'WIN10-PC', 'osPlatform': 'Windows 10 Enterprise', 'osVersion': '1909', 'machineGroup': {'id': '87654321-ba98-fedc-7654-3210fedcba98', 'name': 'Marketing', 'displayName': 'Marketing'}}}], 'eventTime': '2022-10-15T12:30:00.0000000Z', 'eventName': 'Local group membership changes', 'eventSeverity': 'High', 'actionTaken': 'Blocked', 'operationName': 'Add Local Group Member', 'user': {'domainName': 'MYDOMAIN', 'userName': 'jdoe', 'sid': 'S-1-5-21-1234567890-1234567890-1234567890-1001', 'email': 'jdoe@example.com'}, 'target': {'targetType': 'User', 'targetUserName': 'jsmith', 'targetUserSid': 'S-1-5-21-1234567890-1234567890-1234567890-1002'}, 'initiator': {'initiatorType': 'User', 'initiatorUserName': 'admin', 'initiatorSid': 'S-1-5-21-1234567890-1234567890-1234567890-500'}, 'additionalData': [{'name': 'New Member Name', 'value': 'jsmith'}, {'name': 'Group Name', 'value': 'Administrators'}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RemovableMediaCapacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 01234567-89ab-cdef-0123-456789abcdef. creationTimeUtc is 2022-10-15T12:30:00.0000000Z. AlertTimestamp is 2023-03-10T15:30:00Z. severity is high. category is AccountManipulation. status is newAlert. AlertName is Account Manipulation. AlertDescription is An attempt was made to add a user account to the local Administrators group on a device. recommendedActions are Block or quarantine the affected device; Investigate the source and destination of the activity; Reset the passwords for any accounts that may have been compromised; vendorInformation provider is Microsoft Defender for Endpoint. vendorInformation providerVersion is 1.0. properties eventTime is 2022-10-15T12:30:00.0000000Z. properties eventName is Local group membership changes. properties eventSeverity is High. properties actionTaken is Blocked. properties operationName is Add Local Group Member. 
55554673,,2023-03-10T10:30:00Z,,,,BITS Jobs,APT39 has used the BITS protocol to exfiltrate stolen data from a compromised host.,,,,Endpoint Detection and Response,High,BITS Jobs,hostname,bitsadmin.exe,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe /transfer job /download /priority normal http://example.com/file.txt C:\file.txt,explorer.exe,C:\Windows\explorer.exe,File system monitoring and behavioral analysis,"['Terminate the process and remove any associated artifacts.', 'Investigate the source and destination of the BITS job.', 'Check for other suspicious activity on the endpoint and the network.', 'Update endpoint security software and monitor for any further activity.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 55554673. AlertTimestamp is 2023-03-10T10:30:00Z. AlertName is BITS Jobs. AlertDescription is APT39 has used the BITS protocol to exfiltrate stolen data from a compromised host.. AlertCategory is Endpoint Detection and Response. AlertSeverity is High. Technique is BITS Jobs. AffectedHost is hostname. AffectedProcess is bitsadmin.exe. AffectedFilePath is C:\Windows\System32\bitsadmin.exe. Commandline is bitsadmin.exe /transfer job /download /priority normal http://example.com/file.txt C:\file.txt. ParentProcess is explorer.exe. ProcessCommandLine is C:\Windows\explorer.exe. DetectionMethod is File system monitoring and behavioral analysis. RecommendedActions are Terminate the process and remove any associated artifacts.; Investigate the source and destination of the BITS job.; Check for other suspicious activity on the endpoint and the network.; Update endpoint security software and monitor for any further activity.; 
789012,,2023-03-08T15:30:00Z,high,endpoint,,Communication Through Removable Media,A file transfer was initiated form a removed media drive (USB),,,,,,Communication Through Removable Media,,,,,,,,,EDR,Exfiltration,USB Drive,file transfer,confidential.docx,3.5MB,D:\confidential.docx,C:\Users\user1\Documents\confidential.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 789012. AlertTimestamp is 2023-03-08T15:30:00Z. severity is high. category is endpoint. AlertName is Communication Through Removable Media. AlertDescription is A file transfer was initiated form a removed media drive (USB). Technique is Communication Through Removable Media. source is EDR. tactic is Exfiltration. device_name is USB Drive. action is file transfer. file_name is confidential.docx. file_size is 3.5MB. src_path is D:\confidential.docx. dst_path is C:\Users\user1\Documents\confidential.docx. 
EDR-T1609,,,,,,Container Administration Command Execution Detected,"In Docker, adversaries may specify an entrypoint during container deployment that executes a script or command, or they may use a command such as docker exec to execute a command within a running container.",,,,,,,,,,,,,,,,,,,,,,,High,Container Administration Command,"{'StartTime': '2022-03-15T14:30:00Z', 'EndTime': '2022-03-15T14:31:00Z', 'Source': {'HostName': 'Endpoint-001', 'IPAddress': '192.168.1.100'}, 'Destination': {'HostName': 'Container-001', 'IPAddress': '192.168.1.200'}, 'EventType': 'CommandExecution', 'Command': 'docker exec -it <container_id> /bin/bash'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is EDR-T1609. AlertName is Container Administration Command Execution Detected. AlertDescription is In Docker, adversaries may specify an entrypoint during container deployment that executes a script or command, or they may use a command such as docker exec to execute a command within a running container.. Severity is High. Name is Container Administration Command. Event StartTime is 2022-03-15T14:30:00Z. Event EndTime is 2022-03-15T14:31:00Z. Event EventType is CommandExecution. Event Command is docker exec -it <container_id> /bin/bash. "
44555555,,,,,,Custom Script,A custom script was detected running on a machine that was performing internal reconnaissance,,,,,,,,,,,,,,,,,,,,,,,3,,,EDR,12345678-9abc-def0-1234-56789abcdef0,Script-based,EDR1234567890123456,2022-02-28T10:30:00.000Z,"{'AffectedEntities': [{'MachineId': '12345678-9abc-def0-1234-56789abcdef0', 'MachineName': 'SERVER-123', 'DomainName': 'COMPANY.LOCAL', 'IPAddress': '10.0.0.1', 'OSPlatform': 'Windows', 'OSBuild': '10.0.19043.1415', 'OSVersion': '20H2', 'ProcessName': 'powershell.exe', 'ProcessCommandLine': 'powershell.exe -ExecutionPolicy Bypass -File C:\\scripts\\internal_reconnaissance.ps1', 'ProcessId': 1234, 'ParentProcessName': 'cmd.exe', 'ParentProcessCommandLine': 'cmd.exe /c C:\\scripts\\internal_reconnaissance.bat', 'ParentProcessId': 5678, 'DetectionSource': 'MachineLearning'}], 'ScriptName': 'internal_scan.ps1', 'ScriptHash': '1234567890123456789012345678901234567890', 'ScriptFolderPath': 'C:\\scripts\\'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 44555555. AlertName is Custom Script. AlertDescription is A custom script was detected running on a machine that was performing internal reconnaissance. Severity is 3. AlertType is EDR. MachineId is 12345678-9abc-def0-1234-56789abcdef0. Category is Script-based. AlertId is EDR1234567890123456. EventTime is 2022-02-28T10:30:00.000Z. ExtendedProperties ScriptName is internal_scan.ps1. ExtendedProperties ScriptHash is 1234567890123456789012345678901234567890. ExtendedProperties ScriptFolderPath is C:\scripts\. 
453333,,2022-03-07T16:57:35.0000000Z,,,,Data Destruction,Data destruction activity was detected on the endpoint.,,,,,,,,,,,,,,,,,,,,,,,3,,,,12345,Threat,,,"{'AlertType': 'Behavior', 'BehaviorName': 'Data Destruction', 'AlertId': '12345', 'ThreatName': 'Data Destruction', 'Severity': 'High', 'TimestampUtc': '2022-03-07T16:57:35.0000000Z', 'Tactic': 'Impact', 'Technique': 'Data Destruction', 'AffectedEntities': {'File': [{'Path': 'C:\\Users\\example-user\\Documents\\example-file.txt', 'Hash': '1234567890ABCDEF1234567890ABCDEF12345678', 'CreatedTimeUtc': '2022-03-06T16:57:35.0000000Z', 'ModifiedTimeUtc': '2022-03-06T16:57:35.0000000Z'}]}, 'CommandLine': 'cmd /c del C:\\Users\\example-user\\Documents\\example-file.txt'}",example-hostname,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 453333. AlertTimestamp is 2022-03-07T16:57:35.0000000Z. AlertName is Data Destruction. AlertDescription is Data destruction activity was detected on the endpoint.. Severity is 3. MachineId is 12345. Category is Threat. ExtendedProperties AlertType is Behavior. ExtendedProperties BehaviorName is Data Destruction. ExtendedProperties AlertId is 12345. ExtendedProperties ThreatName is Data Destruction. ExtendedProperties Severity is High. ExtendedProperties TimestampUtc is 2022-03-07T16:57:35.0000000Z. ExtendedProperties Tactic is Impact. ExtendedProperties Technique is Data Destruction. ExtendedProperties CommandLine is cmd /c del C:\Users\example-user\Documents\example-file.txt. ComputerName is example-hostname. Status is New. 
944444,,2023-03-08T09:00:00Z,,,,Data Encoding,Adversaries may encode data to make the content of command and control traffic more difficult to detect.,,,,,,,,,,,,,,,,,,,,,,,High,,,,,Endpoint,,,,,,"{'ProcessName': 'notepad.exe', 'ProcessPath': 'C:\\Windows\\system32\\notepad.exe', 'CommandLine': 'notepad.exe C:\\Users\\User1\\Desktop\\encoded.txt', 'ParentProcessName': 'explorer.exe', 'ParentProcessPath': 'C:\\Windows\\explorer.exe', 'EncodingType': 'Base64', 'EncodedData': 'SGVsbG8gV29ybGQh'}","{'Hostname': 'Endpoint1', 'IPAddress': '192.168.1.10', 'MACAddress': '00-0C-29-56-A7-34', 'OS': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 0944444. AlertTimestamp is 2023-03-08T09:00:00Z. AlertName is Data Encoding. AlertDescription is Adversaries may encode data to make the content of command and control traffic more difficult to detect.. Severity is High. Category is Endpoint. AlertDetails ProcessName is notepad.exe. AlertDetails ProcessPath is C:\Windows\system32\notepad.exe. AlertDetails CommandLine is notepad.exe C:\Users\User1\Desktop\encoded.txt. AlertDetails ParentProcessName is explorer.exe. AlertDetails ParentProcessPath is C:\Windows\explorer.exe. AlertDetails EncodingType is Base64. AlertDetails EncodedData is SGVsbG8gV29ybGQh. EndpointDetails Hostname is Endpoint1. EndpointDetails IPAddress is 192.168.1.10. EndpointDetails MACAddress is 00-0C-29-56-A7-34. EndpointDetails OS is Windows 10. 
3345678,,2022-03-08T15:12:30.0000000Z,,,,Data Encrypted,Data encryption activity for impact was detected on the endpoint.,,,,,,,,,,,,,,,,,,,,,,,3,,,Behavior,12345,Threat,,,"{'AlertType': 'Behavior', 'BehaviorName': 'Data Encrypted for Impact', 'AlertId': '12345', 'ThreatName': 'Data Encrypted for Impact', 'Severity': 'High', 'TimestampUtc': '2022-03-08T15:12:30.0000000Z', 'MITRE': {'Tactic': ['Impact'], 'Technique': [{'Id': 'T1486', 'Name': 'Data Encrypted for Impact'}]}, 'AffectedEntities': {'File': [{'Path': 'C:\\Users\\example-user\\Documents\\example-file.txt', 'Hash': '1234567890ABCDEF1234567890ABCDEF12345678', 'CreatedTimeUtc': '2022-03-08T14:34:10.0000000Z', 'ModifiedTimeUtc': '2022-03-08T14:34:10.0000000Z'}]}, 'CommandLine': 'cmd /c cipher /e /a /s:C:\\Users\\example-user\\Documents\\example-file.txt'}",example-hostname,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 3345678. AlertTimestamp is 2022-03-08T15:12:30.0000000Z. AlertName is Data Encrypted. AlertDescription is Data encryption activity for impact was detected on the endpoint.. Severity is 3. AlertType is Behavior. MachineId is 12345. Category is Threat. ExtendedProperties AlertType is Behavior. ExtendedProperties BehaviorName is Data Encrypted for Impact. ExtendedProperties AlertId is 12345. ExtendedProperties ThreatName is Data Encrypted for Impact. ExtendedProperties Severity is High. ExtendedProperties TimestampUtc is 2022-03-08T15:12:30.0000000Z. ExtendedProperties CommandLine is cmd /c cipher /e /a /s:C:\Users\example-user\Documents\example-file.txt. ComputerName is example-hostname. Status is New. 
33567890,,2022-03-07T12:30:00Z,,,,Data Transfer Size Limits,Data transfer size limits were exceeded on endpoint. This approach may be used to avoid triggering network data transfer threshold alerts.,,,,,,Data Transfer Size Limits,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,Endpoint,123456789,ABCDEF1234567890,"[{'EntityName': 'Endpoint001', 'EntityType': 'Endpoint', 'IPAddress': '192.168.1.100', 'OS': 'Windows 10', 'UserName': 'User001'}]",Exfiltration,Exfiltration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 33567890. AlertTimestamp is 2022-03-07T12:30:00Z. AlertName is Data Transfer Size Limits. AlertDescription is Data transfer size limits were exceeded on endpoint. This approach may be used to avoid triggering network data transfer threshold alerts.. Technique is Data Transfer Size Limits. Severity is High. DetectionSource is Endpoint. EventHash is ABCDEF1234567890. Tactic is Exfiltration. KillChainPhase is Exfiltration. 
1234,,2023-03-10T10:00:00Z,,,,Deploy Container,This alert is triggered when an attempt to deploy an unauthorized container is detected on a host,,,,Container Security,,Deploy Container,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,Defense Evasion,,example.com,/usr/bin/docker,docker,docker run malicious/image,f1ef997989e37c17eb2a12d56a9ac05d,098f6bcd4621d373cade4e832627b4f6,192.168.1.100,john.doe,5678,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 1234. AlertTimestamp is 2023-03-10T10:00:00Z. AlertName is Deploy Container. AlertDescription is This alert is triggered when an attempt to deploy an unauthorized container is detected on a host. AlertCategory is Container Security. Technique is Deploy Container. Severity is High. Tactic is Defense Evasion. HostName is example.com. FilePath is /usr/bin/docker. ProcessName is docker. CommandLine is docker run malicious/image. MD5Hash is f1ef997989e37c17eb2a12d56a9ac05d. SHA256Hash is 098f6bcd4621d373cade4e832627b4f6. IPAddress is 192.168.1.100. UserName is john.doe. 
